,AS_Number
1915,17813
1916,
1917,17488
1918,17488
1919,17488
1920,17488
1921,17488
1922,17488
1923,17488
1924,17488
1925,17488
1926,17488
1927,17488
1928,17488
1929,17488
1930,17488
1931,17488
1932,17488
1933,17488
1934,17488
1935,17488
1936,17488
1937,17488
1938,17488
1939,17488
1940,17488
1941,17488
1942,17488
1943,17488
1944,17488
1945,17488
1946,
1947,17488
1948,17488
1949,17488
1950,17488
1951,
1952,2108
1953,17488
1954,17488
1955,17488
1956,17488
1957,17488
1958,17488
1959,17488
1960,17488
1961,13335
1962,17488
1963,17488
1964,17488
1965,17488
1966,17488
1967,36352
1968,17488
1969,17488
1970,17488
1971,
1972,
1973,
1974,
1975,
1976,17488
1977,17488
1978,17488
1979,17488
1980,17488
1981,17488
1982,17488
1983,17488
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,17488
1995,
1996,
1997,19429
1998,17488
1999,17813
2000,
2001,4837
2002,4837
2003,17813
2004,19429
2005,17813
2006,19429
2007,4837
2008,4766
2009,263137
2010,263137
2011,263137
2012,38625
2013,35805
2014,35805
2015,
2016,4134
2017,17488
2018,17488
2019,71
2020,17488
2021,17488
2022,4837
2023,4134
2024,4134
2025,4134
2026,
2027,45899
2028,4134
2029,36352
2030,
2031,
2032,
2033,
2034,36352
2035,71
2036,17488
2037,17488
2038,4837
2039,17813
2040,17813
2041,9737
2042,17813
2043,17813
2044,17813
2045,9808
2046,17488
2047,17488
2048,17488
2049,17488
2050,17488
2051,17488
2052,17488
2053,17488
2054,17488
2055,17488
2056,17488
2057,17488
2058,17488
2059,17488
2060,17488
2061,17488
2062,17488
2063,17488
2064,17488
2065,
2066,
2067,17488
2068,36352
2069,36352
2070,
2071,
2072,
2073,36352
2074,36352
2075,
2076,17488
2077,
2078,17488
2079,17488
2080,17488
2081,17488
2082,17488
2083,17488
2084,17488
2085,17488
2086,17488
2087,17488
2088,17488
2089,17488
2090,17488
2091,
2092,17488
2093,17488
2094,
2095,
2096,17488
2097,17488
2098,17488
2099,
2100,
2101,
2102,
2103,17488
2104,17488
2105,17488
2106,
2107,
2108,17488
2109,17488
2110,17488
2111,17488
2112,17488
2113,17488
2114,17488
2115,17488
2116,
2117,17488
2118,17488
2119,
2120,
2121,17488
2122,
2123,17488
2124,36352
2125,36352
2126,
2127,
2128,17488
2129,17488
2130,17488
2131,17488
2132,17488
2133,17488
2134,17488
2135,17488
2136,17488
2137,17488
2138,17488
2139,36352
2140,17488
2141,36352
2142,17488
2143,17488
2144,17488
2145,17488
2146,17488
2147,17488
2148,36024
2149,17488
2150,17488
2151,Invalid URL
2152,17488
2153,17488
2154,17488
2155,17488
2156,17488
2157,17488
2158,17488
2159,17488
2160,
2161,17488
2162,28299
2163,45544
2164,32244
2165,
2166,Invalid URL
2167,
2168,24940
2169,17488
2170,17488
2171,17488
2172,17488
2173,17488
2174,17488
2175,17488
2176,17488
2177,
2178,17488
2179,17488
2180,
2181,36352
2182,
2183,
2184,17488
2185,3
2186,54540
2187,Invalid URL
2188,17488
2189,
2190,3563
2191,17488
2192,17488
2193,
2194,3292
2195,17488
2196,17488
2197,17488
2198,17488
2199,17488
2200,17488
2201,17488
2202,17488
2203,17488
2204,17488
2205,17488
2206,17488
2207,17488
2208,17488
2209,17488
2210,17488
2211,17488
2212,17488
2213,17488
2214,17488
2215,17488
2216,17488
2217,17488
2218,17488
2219,17488
2220,17488
2221,17488
2222,17488
2223,17488
2224,17488
2225,17488
2226,17488
2227,17488
2228,53667
2229,17488
2230,17488
2231,17488
2232,17488
2233,17488
2234,17488
2235,17488
2236,17488
2237,17488
2238,17488
2239,17488
2240,17488
2241,17488
2242,17488
2243,17488
2244,17488
2245,17488
2246,
2247,17488
2248,17488
2249,17488
2250,17488
2251,17488
2252,17488
2253,17488
2254,17488
2255,17488
2256,17488
2257,17488
2258,17488
2259,17488
2260,
2261,
2262,4134
2263,17488
2264,4134
2265,4837
2266,17488
2267,4837
2268,4837
2269,4837
2270,4837
2271,9808
2272,
2273,4837
2274,7690
2275,
2276,
2277,
2278,4134
2279,
2280,4134
2281,53667
2282,17488
2283,17488
2284,
2285,17488
2286,17488
2287,4837
2288,
2289,17488
2290,17488
2291,17488
2292,17488
2293,17488
2294,17488
2295,17488
2296,17488
2297,17488
2298,
2299,
2300,17488
2301,
2302,
2303,
2304,17488
2305,
2306,17488
2307,
2308,
2309,
2310,17488
2311,
2312,
2313,
2314,17488
2315,17488
2316,17813
2317,
2318,17813
2319,17813
2320,17813
2321,17813
2322,17813
2323,17813
2324,4134
2325,4134
2326,17813
2327,17488
2328,17488
2329,17488
2330,28000
2331,17488
2332,45595
2333,17488
2334,17488
2335,17488
2336,28000
2337,4837
2338,17488
2339,17488
2340,17488
2341,17488
2342,17488
2343,17488
2344,17488
2345,17488
2346,17488
2347,17488
2348,17488
2349,17488
2350,17488
2351,17488
2352,17488
2353,17488
2354,17488
2355,17488
2356,17488
2357,17488
2358,17488
2359,17488
2360,17488
2361,17488
2362,17488
2363,17488
2364,17488
2365,17488
2366,17488
2367,17488
2368,17488
2369,17488
2370,17488
2371,17488
2372,
2373,
2374,17488
2375,17488
2376,17488
2377,17488
2378,17488
2379,17488
2380,
2381,17488
2382,17488
2383,17488
2384,17488
2385,17488
2386,17488
2387,17488
2388,17488
2389,17488
2390,18747
2391,17488
2392,17488
2393,17488
2394,17488
2395,17488
2396,17488
2397,17488
2398,17488
2399,17488
2400,17488
2401,17488
2402,17488
2403,17488
2404,17488
2405,17488
2406,17488
2407,17488
2408,17488
2409,17488
2410,17488
2411,17488
2412,17488
2413,56046
2414,17917
2415,17488
2416,17488
2417,17488
2418,17488
2419,4837
2420,17488
2421,
2422,
2423,
2424,
2425,17621
2426,17488
2427,4837
2428,47625
2429,19429
2430,19429
2431,19429
2432,17465
2433,17813
2434,17813
2435,4837
2436,17813
2437,17813
2438,17813
2439,
2440,4837
2441,17813
2442,19429
2443,4134
2444,263137
2445,4134
2446,4134
2447,4837
2448,4837
2449,58054
2450,58054
2451,4134
2452,4134
2453,4837
2454,17813
2455,4837
2456,4837
2457,9808
2458,17488
2459,17813
2460,17813
2461,17813
2462,17813
2463,17488
2464,17488
2465,4837
2466,4837
2467,17488
2468,17488
2469,17488
2470,17488
2471,17488
2472,17488
2473,17488
2474,17488
2475,17488
2476,17488
2477,17488
2478,17488
2479,17488
2480,17488
2481,17488
2482,17488
2483,17488
2484,17488
2485,17488
2486,17488
2487,17488
2488,17488
2489,17488
2490,17488
2491,17488
2492,17488
2493,17488
2494,17488
2495,17488
2496,17488
2497,17488
2498,
2499,17488
2500,17488
2501,17488
2502,17488
2503,
2504,
2505,17488
2506,17488
2507,17488
2508,17488
2509,17488
2510,17488
2511,17488
2512,17488
2513,17488
2514,
2515,
2516,17488
2517,17488
2518,17488
2519,17488
2520,17488
2521,17488
2522,17488
2523,17488
2524,
2525,17488
2526,17488
2527,17488
2528,17488
2529,17488
2530,17488
2531,17488
2532,17488
2533,17488
2534,17488
2535,17488
2536,17488
2537,17488
2538,17488
2539,17488
2540,17488
2541,17488
2542,17488
2543,17488
2544,17488
2545,17488
2546,17488
2547,17488
2548,17488
2549,17488
2550,17488
2551,17488
2552,17488
2553,17488
2554,17488
2555,17488
2556,17488
2557,17488
2558,17488
2559,17488
2560,17488
2561,17488
2562,17488
2563,17488
